timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,rule,bytes
2025-01-15T08:00:01,10.0.0.20,10.0.0.5,49152,443,TCP,ALLOW,web-allow,1524
2025-01-15T08:00:05,10.0.0.20,10.0.0.5,49153,443,TCP,ALLOW,web-allow,2048
2025-01-15T08:01:00,203.0.113.45,10.0.0.1,54321,22,TCP,DENY,default-deny,0
2025-01-15T08:01:01,203.0.113.45,10.0.0.1,54322,23,TCP,DENY,default-deny,0
2025-01-15T08:01:02,203.0.113.45,10.0.0.1,54323,25,TCP,DENY,default-deny,0
2025-01-15T08:01:03,203.0.113.45,10.0.0.1,54324,80,TCP,DENY,default-deny,0
2025-01-15T08:01:04,203.0.113.45,10.0.0.1,54325,443,TCP,DENY,default-deny,0
2025-01-15T08:01:05,203.0.113.45,10.0.0.1,54326,3389,TCP,DENY,default-deny,0
2025-01-15T08:01:06,203.0.113.45,10.0.0.1,54327,8080,TCP,DENY,default-deny,0
2025-01-15T08:01:07,203.0.113.45,10.0.0.1,54328,8443,TCP,DENY,default-deny,0
2025-01-15T08:05:00,10.0.0.50,10.0.0.5,38291,5432,TCP,ALLOW,db-allow,4096
2025-01-15T08:10:00,10.0.0.2,10.0.0.1,55123,22,TCP,ALLOW,admin-ssh,512
2025-01-15T08:15:00,198.51.100.23,10.0.0.1,44000,443,TCP,ALLOW,web-allow,8192
2025-01-15T08:15:01,198.51.100.23,10.0.0.1,44001,443,TCP,ALLOW,web-allow,12288
2025-01-15T08:20:00,172.16.0.100,10.0.0.5,60000,3306,TCP,DENY,db-restrict,0
2025-01-15T08:20:01,172.16.0.100,10.0.0.5,60001,3306,TCP,DENY,db-restrict,0
2025-01-15T08:20:02,172.16.0.100,10.0.0.5,60002,3306,TCP,DENY,db-restrict,0
2025-01-15T08:25:00,10.0.0.20,8.8.8.8,49200,53,UDP,ALLOW,dns-allow,128
2025-01-15T08:30:00,10.0.0.50,10.0.0.20,44312,22,TCP,ALLOW,internal-ssh,256
2025-01-15T09:00:00,203.0.113.100,10.0.0.1,33333,4444,TCP,DENY,default-deny,0
